ResponsID,Progress,cnsnt,Geslacht,Leeftijfd,Gemeente,Opleiding,Kinderen,Jong_kind,Huishouden,Werk,Werk_uur,Inkomen,Hoofdverdiener,Gemakkelijk_1,Gemakkelijk_2,Woon,Steun0,Werk0,Meer_minder0,Steun1,Werk1,Meer_minder1,Steun2,Werk2,Meer_minder2,Steun3,Werk3,Meer_minder3,Steun4,Werk4,Meer_minder4,Steun5,Werk5,Meer_minder5,Steun6,Werk6,Meer_minder6,Steun7,Werk7,Meer_minder7,Steun8,Werk8,Meer_minder8,Ontslag_vol,Vol_UBI,AndersVol_UBI,Ontslag_partieel,Partieel_UBI,AndersPartieel_UBI,Belastingen_1,Belastingen_2,Belastingen_3,Belastingen_4,Armoede_1,Armoede_2,Armoede_3,Armoede_4,Armoede_5,Armoede_6,Armoede_7,Children,Income,Huidig,RespondentID,missing_values_conjoint,Income_category,Jong_kind_check,Income_profile_0,Income_profile_1,Income_profile_2,Income_profile_3,Income_profile_4,Income_profile_5,Income_profile_6,Income_profile_7,Income_profile_8,difference_profile_0,difference_profile_1,difference_profile_2,difference_profile_3,difference_profile_4,difference_profile_5,difference_profile_6,difference_profile_7,difference_profile_8
1,100,Volgende,Man,55.0,Amerland,Lagere school,1.0,Tussen de 6 en de 12,2.0,"Bijstandsgerechtigde,In loondienst",16.0,Minder dan 14.400 euro,Ja,Heel makkelijk,Heel makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer onwaarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Onwaarschijnlijk,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,8.0,Zeer onwaarschijnlijk,meer,12.0,Zeer onwaarschijnlijk,meer,12.0,Zeer onwaarschijnlijk,meer,12.0,"Niet van toepassing, ik heb momenteel geen werk","Ik ga meer zwartwerken.,Ik heb minder stress.,Ik ga vaker naar de dokter.,Ik ga gezonder voedsel kopen.,Ik ga (meer) studeren / een opleiding volgen",0,"Niet van toepassing, ik heb momenteel geen werk","Ik ga meer zwartwerken.,Ik heb minder stress.,Ik ga vaker naar de dokter.,Ik ga gezonder voedsel kopen.",0,Neutraal,Zeer eens,Eens,Oneens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Eens,1.0,14592,2328.0,1,0,14592,True,2267.0,2482.0,2516.0,2146.0,2031.0,1497.0,1726.0,1162.0,1526.0,-0.61,1.54,1.88,-1.82,-2.97,-8.31,-6.02,-11.66,-8.02
2,100,Volgende,Man,64.0,Bunnik,Lagere school,0.0,0,2.0,"Bijstandsgerechtigde,In loondienst",12.0,Minder dan 14.400 euro,Nee,Heel makkelijk,Heel makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,minder,-8.0,Zeer waarschijnlijk,minder,-8.0,Zeer waarschijnlijk,minder,-8.0,Onwaarschijnlijk,meer,8.0,Onwaarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,8.0,Onwaarschijnlijk,meer,8.0,"Niet van toepassing, ik heb momenteel geen werk","Niets anders dan nu.,Ik heb minder stress.,Ik ga vaker naar de dokter.,Ik ga gezonder voedsel kopen.,Anders",Paar uur extra werken,"Niet van toepassing, ik heb momenteel geen werk","Niets anders dan nu.,Ik heb minder stress.,Ik ga vaker naar de dokter.,Ik ga gezonder voedsel kopen.,Anders",Paar uur extra werken,Oneens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,0.0,14592,1660.0,2,0,14592,False,1967.0,2146.0,2404.0,1778.0,1834.0,1397.0,1414.0,977.0,1387.0,3.07,4.86,7.44,1.18,1.74,-2.63,-2.46,-6.83,-2.73
3,100,Volgende,Man,33.0,Breda,MBO ,2.0,Tussen de 6 en de 12,4.0,"Bijstandsgerechtigde,In loondienst",16.0,Minder dan 14.400 euro,Nee,Heel makkelijk,Redelijk makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Waarschijnlijk ,meer,8.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,meer,6.0,Waarschijnlijk ,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Onwaarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,24.0,Onwaarschijnlijk,hetzelfde,0.0,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,Oneens,Zeer eens,Zeer eens,Oneens,Zeer eens,Zeer eens,Eens,Eens,Zeer eens,Zeer eens,Oneens,2.0,14592,2199.0,3,0,14592,True,2567.0,2593.0,2616.0,2389.0,2216.0,1597.0,2026.0,1347.0,1626.0,3.68,3.94,4.17,1.9,0.17,-6.02,-1.73,-8.52,-5.73
4,100,Volgende,Vrouw,28.0,Delft,HBO of WO bachelor ,0.0,0,1.0,"Bijstandsgerechtigde,In loondienst",8.0,Minder dan 14.400 euro,Ja,Heel makkelijk,Heel lastig,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,meer,8.0,Waarschijnlijk ,meer,8.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,32.0,Onwaarschijnlijk,meer,8.0,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,"Niet van toepassing, ik heb momenteel geen werk","Ik ga meer sparen.,Anders",Meer werken,Neutraal,Neutraal,Zeer eens,Eens,Eens,Eens,Oneens,Neutraal,Zeer eens,Zeer eens,Neutraal,0.0,14592,1724.0,4,0,14592,False,1967.0,2146.0,2404.0,1778.0,1834.0,1397.0,1414.0,977.0,1387.0,2.43,4.22,6.8,0.54,1.1,-3.27,-3.1,-7.47,-3.37
5,100,Volgende,Vrouw,65.0,Hengelo,MBO ,0.0,0,2.0,Bijstandsgerechtigde,,Minder dan 14.400 euro,Nee,Heel lastig,Heel makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,hetzelfde,0.0,Onwaarschijnlijk,hetzelfde,0.0,"Niet van toepassing, ik heb momenteel geen werk","Niets anders dan nu.,Meer mantelzorg uitvoeren.,Meer vrijwilligerswerk doen. ",0,"Niet van toepassing, ik heb momenteel geen werk","Niets anders dan nu.,Meer mantelzorg uitvoeren.,Meer vrijwilligerswerk doen. ",0,Eens,Eens,Zeer eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Zeer oneens,0.0,14592,1370.0,5,0,14592,False,1967.0,2146.0,2404.0,1778.0,1834.0,1397.0,1414.0,977.0,1387.0,5.97,7.76,10.34,4.08,4.64,0.27,0.44,-3.93,0.17
7,100,Volgende,Vrouw,65.0,Emmen,MBO ,0.0,0,2.0,"Bijstandsgerechtigde,In loondienst",10.0,Minder dan 14.400 euro,Nee,Heel makkelijk,Redelijk makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,meer,10.0,Zeer waarschijnlijk,minder,-10.0,Zeer waarschijnlijk,meer,10.0,Zeer waarschijnlijk,meer,10.0,Zeer waarschijnlijk,meer,10.0,Neutraal,hetzelfde,0.0,Neutraal,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,15.0,Zeer onwaarschijnlijk,meer,5.0,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,"Niet van toepassing, ik heb momenteel geen werk","Meer mantelzorg uitvoeren.,Ik heb minder stress.,Ik ga gezonder voedsel kopen.,Anders",Meer werken,Zeer oneens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Oneens,Zeer eens,Zeer eens,Zeer eens,0.0,14592,1660.0,7,0,14592,False,1967.0,2146.0,2404.0,1778.0,1834.0,1397.0,1414.0,977.0,1387.0,3.07,4.86,7.44,1.18,1.74,-2.63,-2.46,-6.83,-2.73
8,100,Volgende,Man,43.0,Rotterdam,MBO ,2.0,Jonger dan 6,3.0,Bijstandsgerechtigde,,Minder dan 14.400 euro,Ja,Lastig,Heel makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Waarschijnlijk ,meer,8.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,meer,8.0,Onwaarschijnlijk,meer,8.0,Onwaarschijnlijk,meer,8.0,Zeer onwaarschijnlijk,meer,8.0,Onwaarschijnlijk,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,16.0,Zeer onwaarschijnlijk,meer,10.0,"Niet van toepassing, ik heb momenteel geen werk",Anders,"Meer stress, maar genoodzaakt meer werken","Niet van toepassing, ik heb momenteel geen werk",Anders,Zie vorige,Zeer oneens,Eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer oneens,2.0,14592,2523.0,8,0,14592,True,2567.0,2593.0,2616.0,2389.0,2216.0,1597.0,2026.0,1347.0,1626.0,0.44,0.7,0.93,-1.34,-3.07,-9.26,-4.97,-11.76,-8.97
9,100,Volgende,Vrouw,43.0,Emmen,Middelbare school,2.0,Tussen de 6 en de 12,3.0,"Bijstandsgerechtigde,In loondienst",12.0,Minder dan 14.400 euro,Ja,Heel lastig,Lastig,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,meer,8.0,Neutraal,meer,8.0,Waarschijnlijk ,meer,4.0,Onwaarschijnlijk,hetzelfde,0.0,Neutraal,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,16.0,Zeer onwaarschijnlijk,meer,8.0,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,"Niet van toepassing, ik heb momenteel geen werk",Anders,Meer werken,Oneens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Neutraal,Neutraal,Zeer eens,Zeer eens,Oneens,2.0,14592,2457.0,9,0,14592,True,2567.0,2593.0,2616.0,2389.0,2216.0,1597.0,2026.0,1347.0,1626.0,1.1,1.36,1.59,-0.68,-2.41,-8.6,-4.31,-11.1,-8.31
10,100,Volgende,Man,61.0,Wijhe,MBO ,0.0,0,2.0,"Bijstandsgerechtigde,In loondienst",8.0,Minder dan 14.400 euro,Nee,Lastig,Redelijk makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Waarschijnlijk ,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,4.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,8.0,Onwaarschijnlijk,hetzelfde,0.0,"Niet van toepassing, ik heb momenteel geen werk","Meer mantelzorg uitvoeren.,Meer vrijwilligerswerk doen. ",0,"Niet van toepassing, ik heb momenteel geen werk","Meer mantelzorg uitvoeren.,Meer vrijwilligerswerk doen. ",0,Oneens,Eens,Eens,Eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Eens,0.0,14592,1670.0,10,0,14592,False,1967.0,2146.0,2404.0,1778.0,1834.0,1397.0,1414.0,977.0,1387.0,2.97,4.76,7.34,1.08,1.64,-2.73,-2.56,-6.93,-2.83
11,100,Volgende,Vrouw,31.0,Rotterdam,Middelbare school,1.0,Jonger dan 6,2.0,Bijstandsgerechtigde,,Minder dan 14.400 euro,Ja,Lastig,Heel makkelijk,... sociale huurwoning (huur lager dan 808 euro per maand),Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,hetzelfde,0.0,Zeer waarschijnlijk,meer,8.0,Zeer waarschijnlijk,meer,8.0,Waarschijnlijk ,hetzelfde,0.0,Zeer onwaarschijnlijk,hetzelfde,0.0,Zeer onwaarschijnlijk,hetzelfde,0.0,Zeer onwaarschijnlijk,meer,16.0,Zeer onwaarschijnlijk,hetzelfde,0.0,"Niet van toepassing, ik heb momenteel geen werk","Ik ga een eigen bedrijf beginnen.  ,Ik ga meer zwartwerken.",0,"Niet van toepassing, ik heb momenteel geen werk","Ik ga een eigen bedrijf beginnen.  ,Ik ga meer zwartwerken.",0,Oneens,Zeer eens,Eens,Eens,Eens,Eens,Zeer eens,Zeer eens,Zeer eens,Zeer eens,Neutraal,1.0,14592,2039.0,11,0,14592,True,2267.0,2482.0,2516.0,2146.0,2031.0,1497.0,1726.0,1162.0,1526.0,2.28,4.43,4.77,1.07,-0.08,-5.42,-3.13,-8.77,-5.13
