ResponsID,Steun0,Meer_minder0,difference_profile_0,Steun1,Meer_minder1,difference_profile_1,Steun2,Meer_minder2,difference_profile_2,Steun3,Meer_minder3,difference_profile_3,Steun4,Meer_minder4,difference_profile_4,Steun5,Meer_minder5,difference_profile_5,Steun6,Meer_minder6,difference_profile_6,Steun7,Meer_minder7,difference_profile_7,Steun8,Meer_minder8,difference_profile_8,single_parent_code,geslacht_code,Jong_kind_code,welfare_gap,Age_18_27_code,Age_51_67_code,tweedeverdiender,Bijstand,Parttime_code,Tiener_kind_code,Ouder_kind_code,Bijbaan_code,Werkloos_code,Koop_code,Sociaal_huur_code,Student,Mid_inkomen_code,Hoog_inkomen_code,Makkelijk_meer_minder_werk_code,Opleiding_code,Tax0,Allowance0,Tax01,Allowance01,UBI0,UBI_child0,UBI01,UBI_child01,Tax1,Allowance1,Tax11,Allowance11,UBI1,UBI_child1,UBI11,UBI_child11,Tax2,Allowance2,Tax21,Allowance21,UBI2,UBI_child2,UBI21,UBI_child21,Tax3,Allowance3,Tax31,Allowance31,UBI3,UBI_child3,UBI31,UBI_child31,Tax4,Allowance4,Tax41,Allowance41,UBI4,UBI_child4,UBI41,UBI_child41,Tax5,Allowance5,Tax51,Allowance51,UBI5,UBI_child5,UBI51,UBI_child51,Tax6,Allowance6,Tax61,Allowance61,UBI6,UBI_child6,UBI61,UBI_child61,Tax7,Allowance7,Tax71,Allowance71,UBI7,UBI_child7,UBI71,UBI_child71,Tax8,Allowance8,Tax81,Allowance81,UBI8,UBI_child8,UBI81,UBI_child81
1,1,0,-0.61,5,0,1.54,5,0,1.88,4,0,-1.82,2,0,-2.97,1,8,-8.31,1,12,-6.02,1,12,-11.66,1,12,-8.02,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
2,5,-8,3.07,5,-8,4.86,5,-8,7.44,2,8,1.18,2,0,1.74,4,0,-2.63,5,0,-2.46,1,8,-6.83,2,8,-2.73,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
3,4,8,3.68,5,0,3.94,5,6,4.17,4,0,1.9,4,0,0.17,2,0,-6.02,4,0,-1.73,1,24,-8.52,2,0,-5.73,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
4,5,0,2.43,5,0,4.22,5,8,6.8,4,8,0.54,5,0,1.1,4,0,-3.27,4,0,-3.1,1,32,-7.47,2,8,-3.37,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
5,5,0,5.97,5,0,7.76,5,0,10.34,4,0,4.08,5,0,4.64,4,0,0.27,4,0,0.44,1,0,-3.93,2,0,0.17,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
7,5,10,3.07,5,-10,4.86,5,10,7.44,5,10,1.18,5,10,1.74,3,0,-2.63,3,0,-2.46,1,15,-6.83,1,5,-2.73,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
8,4,8,0.44,5,0,0.7,4,8,0.93,2,8,-1.34,2,8,-3.07,1,8,-9.26,2,0,-4.97,1,16,-11.76,1,10,-8.97,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
9,5,0,1.1,5,0,1.36,4,8,1.59,3,8,-0.68,4,4,-2.41,2,0,-8.6,3,0,-4.31,1,16,-11.1,1,8,-8.31,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
10,4,0,2.97,5,0,4.76,4,0,7.34,4,0,1.08,4,0,1.64,1,4,-2.73,4,0,-2.56,1,8,-6.93,2,0,-2.83,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
11,5,0,2.28,5,0,4.43,5,8,4.77,5,8,1.07,4,0,-0.08,1,0,-5.42,1,0,-3.13,1,16,-8.77,1,0,-5.13,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
12,5,4,4.73,5,0,6.52,5,12,9.1,5,12,2.84,5,4,3.4,4,0,-0.97,4,0,-0.8,1,12,-5.17,4,4,-1.07,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
13,5,0,0.84,5,0,1.1,4,0,1.33,3,0,-0.94,2,0,-2.67,1,8,-8.86,2,0,-4.57,1,12,-11.36,1,8,-8.57,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
14,5,0,0.84,5,0,1.1,5,0,1.33,4,0,-0.94,1,0,-2.67,1,0,-8.86,1,0,-4.57,1,0,-11.36,1,8,-8.57,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
15,5,0,3.07,5,0,4.86,5,0,7.44,4,0,1.18,5,0,1.74,3,0,-2.63,5,0,-2.46,1,16,-6.83,1,0,-2.73,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
16,5,8,4.73,5,0,6.52,5,8,9.1,5,8,2.84,5,8,3.4,3,0,-0.97,4,0,-0.8,1,16,-5.17,4,8,-1.07,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
17,4,0,13.64,2,0,6.03,3,0,11.69,2,0,4.53,2,0,7.69,4,0,3.94,2,0,5.79,4,0,1.44,4,0,0.92,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
18,3,0,8.29,3,0,7.54,3,0,12.76,3,0,5.82,3,0,8.76,3,0,-1.41,3,0,6.86,3,0,-3.91,3,24,1.26,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
19,2,0,11.24,2,0,6.53,2,0,12.62,2,0,5.04,2,0,8.62,3,0,1.54,2,0,6.72,3,0,-0.96,3,0,1.06,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
20,2,0,6.25,5,0,3.67,4,0,9.38,2,0,0.94,4,0,3.68,3,0,0.55,2,0,-0.52,2,0,-3.65,2,0,-1.18,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
21,3,0,7.79,4,0,3.04,3,0,8.38,4,0,0.53,3,0,2.68,4,0,2.09,3,0,-1.52,4,0,-2.11,4,0,-1.32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
22,3,0,8.74,4,0,6.22,4,0,12.12,4,0,4.19,4,0,7.27,4,0,1.04,2,0,4.22,2,0,-2.31,4,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
23,2,0,8.74,4,0,6.22,5,0,12.12,4,0,4.19,4,0,7.27,3,0,1.04,2,0,4.22,1,0,-2.31,2,0,1.06,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,-1,1,-1,1,0,0,1,-1,0,-1,1,1,-1,0,-1,0,0,1,1,0,1,1,0,-1,1,-1,0,0,0,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,-1,0,-1,1,0,1,1,0,-1,-1,-1,-1
