id;ResponsID;Tiener_kind_code;Ouder_kind_code;Bijbaan_code;Werkloos_code;Koop_code;Sociaal_huur_code;Student;Mid_inkomen_code;Hoog_inkomen_code;Makkelijk_meer_minder_werk_code;Opleiding_code;single_parent_code;geslacht_code;Jong_kind_code;welfare_gap;Age_18_27_code;Age_51_67_code;tweedeverdiender;Bijstand;Parttime_code;Index1;Support;Labor_participation;Difference;UBI_1200;UBI_630;No_tax_deduction;Make_UBI_taxable;Health_allowance;No_allowances;UBI_child_300;UBI_child_185
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;0;-0.61;1;0;1;0;1;0;1;0
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;2;5;0;1.54;1;0;0;1;-1;-1;0;1
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;3;5;0;1.88;1;0;-1;-1;0;1;-1;-1
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;4;4;0;-1.82;0;1;0;1;0;1;1;0
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;5;2;0;-2.97;0;1;-1;-1;1;0;0;1
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;6;1;8;-8.31;0;1;1;0;-1;-1;-1;-1
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;7;1;12;-6.02;-1;-1;-1;-1;-1;-1;1;0
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;8;1;12;-11.66;-1;-1;1;0;0;1;0;1
1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;9;1;12;-8.02;-1;-1;0;1;1;0;-1;-1
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;5;-8;3.07;1;0;1;0;1;0;1;0
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;2;5;-8;4.86;1;0;0;1;-1;-1;0;1
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;3;5;-8;7.44;1;0;-1;-1;0;1;-1;-1
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;4;2;8;1.18;0;1;0;1;0;1;1;0
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;5;2;0;1.74;0;1;-1;-1;1;0;0;1
2;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;6;4;0;-2.63;0;1;1;0;-1;-1;-1;-1
